資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20231006,00650L,10,144,20192000,9.12
20231006,00650L,11,90,26147000,11.81
20231006,00650L,12,31,15429531,6.97
20231006,00650L,13,16,11269000,5.09
20231006,00650L,14,12,10881704,4.91
20231006,00650L,15,23,77834943,35.16
20231006,00650L,16,0,0,0.00
20231006,00650L,17,3671,221338000,100.00
20231006,00651R,1,24,1102,0.00
20231006,00651R,2,162,383000,1.61
20231006,00651R,3,71,633000,2.67
20231006,00651R,4,23,315398,1.33
20231006,00651R,5,32,616000,2.60
20231006,00651R,6,29,778000,3.28
20231006,00651R,7,21,749000,3.16
20231006,00651R,8,9,449000,1.89
20231006,00651R,9,26,1889002,7.97
20231006,00651R,10,16,2094000,8.83
20231006,00651R,11,9,2664554,11.24
20231006,00651R,12,4,1980000,8.35
20231006,00651R,13,0,0,0.00
20231006,00651R,14,0,0,0.00
20231006,00651R,15,6,11139944,47.01
20231006,00651R,16,0,0,0.00
20231006,00651R,17,432,23692000,100.00
20231006,00652,1,2999,969858,2.69
20231006,00652,2,3327,7009659,19.45
20231006,00652,3,562,4388761,12.17
20231006,00652,4,158,2025685,5.62
20231006,00652,5,104,1908379,5.29
20231006,00652,6,75,1888318,5.24
20231006,00652,7,28,1034134,2.86
20231006,00652,8,17,814273,2.25
20231006,00652,9,39,3198033,8.87
20231006,00652,10,17,2384881,6.61
20231006,00652,11,4,1182000,3.28
20231006,00652,12,1,571019,1.58
20231006,00652,13,2,1338000,3.71
20231006,00652,14,0,0,0.00
20231006,00652,15,3,7322000,20.31
20231006,00652,16,0,0,0.00
20231006,00652,17,7336,36035000,100.00
20231006,00653L,1,153,27844,0.20
20231006,00653L,2,589,1272211,9.49
20231006,00653L,3,128,1034783,7.72
20231006,00653L,4,49,615823,4.59
20231006,00653L,5,26,487000,3.63
20231006,00653L,6,29,746000,5.56
20231006,00653L,7,16,587000,4.37
20231006,00653L,8,8,376000,2.80
20231006,00653L,9,20,1339000,9.99
20231006,00653L,10,11,1619103,12.08
20231006,00653L,11,4,1212237,9.04
20231006,00653L,12,2,1049000,7.82
20231006,00653L,13,2,1396999,10.42
20231006,00653L,14,0,0,0.00
20231006,00653L,15,1,1640000,12.23
20231006,00653L,16,0,0,0.00
20231006,00653L,17,1038,13403000,100.00
20231006,00654R,1,24,2758,0.01
20231006,00654R,2,222,571077,2.15
20231006,00654R,3,97,795004,3.00
20231006,00654R,4,53,700000,2.64
20231006,00654R,5,31,575000,2.17
20231006,00654R,6,44,1167000,4.40
20231006,00654R,7,21,780001,2.94
20231006,00654R,8,21,992000,3.74
20231006,00654R,9,31,2305000,8.70
20231006,00654R,10,19,2632000,9.94
20231006,00654R,11,9,2772000,10.47
20231006,00654R,12,7,3334000,12.59
20231006,00654R,13,0,0,0.00
20231006,00654R,14,2,1935000,7.31
20231006,00654R,15,4,7905160,29.86
20231006,00654R,16,0,0,0.00
20231006,00654R,17,585,26466000,100.00
20231006,00655L,1,120,24442,0.01
20231006,00655L,2,1893,4851726,3.52
20231006,00655L,3,753,6117126,4.45
20231006,00655L,4,360,4702415,3.42
20231006,00655L,5,283,5240800,3.81
20231006,00655L,6,322,8399045,6.11
20231006,00655L,7,203,7321130,5.32
20231006,00655L,8,146,6791005,4.94
20231006,00655L,9,277,19815800,14.41
20231006,00655L,10,113,15830850,11.51
20231006,00655L,11,52,15167303,11.03
20231006,00655L,12,16,7827000,5.69
20231006,00655L,13,7,4924000,3.58
20231006,00655L,14,2,1940000,1.41
20231006,00655L,15,13,28505358,20.73
20231006,00655L,16,0,0,0.00
20231006,00655L,17,4560,137458000,100.00
20231006,00656R,1,21,1917,0.01
20231006,00656R,2,169,398139,2.36
20231006,00656R,3,44,376000,2.23
20231006,00656R,4,16,218000,1.29
20231006,00656R,5,19,352000,2.08
20231006,00656R,6,22,583000,3.45
20231006,00656R,7,5,183000,1.08
20231006,00656R,8,7,321000,1.90
20231006,00656R,9,18,1444000,8.56
